"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.40452415137616e-05,0.250818936193627,0.382,0.297,0.466896442119727,"CD14+ Mono","NDUFB10"
4.01027851011804e-05,0.33799971702255,0.57,0.467,0.549969594877588,"CD14+ Mono","SLC25A5"
4.1678988064781e-05,0.802033493768047,0.265,0.197,0.571585642320407,"CD14+ Mono","VAMP5"
5.20408830099068e-05,0.446405255264005,0.298,0.224,0.713688669597862,"CD14+ Mono","MRPL20"
6.2791721883448e-05,0.702030340284874,0.445,0.357,0.861125673909606,"CD14+ Mono","SF3B5"
9.5753464106221e-05,0.343846042107138,0.298,0.225,1,"CD14+ Mono","H2AFV"
0.000100399552188817,0.346349710424545,0.351,0.273,1,"CD14+ Mono","KRTCAP2"
0.000137830708445202,0.307305256047804,0.34,0.26,1,"CD14+ Mono","UQCRQ"
0.000178430325577987,1.09616066374709,0.252,0.191,1,"CD14+ Mono","SDHB"
0.000178546990222063,0.280712880602773,0.278,0.209,1,"CD14+ Mono","P4HB"
0.000208238508092489,0.396757273462771,0.261,0.2,1,"CD14+ Mono","CD97"
0.000228775679394633,0.318636159841833,0.599,0.499,1,"CD14+ Mono","GIMAP7"
0.00025608737291938,0.253594019179086,0.553,0.465,1,"CD14+ Mono","ARL6IP4"
0.000268898339019007,0.315806025091772,0.316,0.241,1,"CD14+ Mono","CASP1"
0.000275910844490338,0.504715068872995,0.283,0.222,1,"CD14+ Mono","ANAPC11"
0.000282567119587722,0.27888543709389,0.306,0.235,1,"CD14+ Mono","CHMP2A"
0.000346116973507317,0.35599104072584,0.334,0.262,1,"CD14+ Mono","PPP4C"
0.00044281023884927,0.436672005362924,0.328,0.262,1,"CD14+ Mono","ATP5I"
0.000476723441391238,0.275403258059428,0.516,0.423,1,"CD14+ Mono","NDUFA13"
0.000478033076605417,0.324530749830898,0.328,0.26,1,"CD14+ Mono","UQCRFS1"
0.000571273579104816,0.384516453127887,0.307,0.239,1,"CD14+ Mono","IFI44L"
0.000604821581552101,0.332800162658354,0.397,0.329,1,"CD14+ Mono","LRRFIP1"
0.000636781500687266,0.379131286097521,0.371,0.302,1,"CD14+ Mono","SEC11A"
0.00111291725394697,0.266946029066249,0.387,0.317,1,"CD14+ Mono","UBE2L6"
0.00113341907236145,0.329852552806999,0.337,0.27,1,"CD14+ Mono","IGBP1"
0.00136080775695044,0.335464801453933,0.503,0.43,1,"CD14+ Mono","PCBP1"
0.00169279949422155,0.439255786598071,0.279,0.22,1,"CD14+ Mono","KHDRBS1"
0.00251379770820249,0.319664181655715,0.258,0.203,1,"CD14+ Mono","MRPL54"
0.00252823202305769,0.712627395988464,0.268,0.215,1,"CD14+ Mono","ALKBH7"
0.00278280722321948,0.257814969358173,0.26,0.203,1,"CD14+ Mono","RER1"
0.00343060504931194,0.252523490535721,0.369,0.3,1,"CD14+ Mono","TMEM258"
0.00401747892773254,0.410475587822293,0.357,0.291,1,"CD14+ Mono","CD2"
0.00453373872417091,0.34813128778986,0.299,0.248,1,"CD14+ Mono","HSD17B11"
0.00475133597973006,0.286777577609103,0.315,0.26,1,"CD14+ Mono","ATP5EP2"
0.00518455755850502,0.259913924453349,0.478,0.41,1,"CD14+ Mono","COPE"
0.00547420591489297,0.26785618157516,0.317,0.269,1,"CD14+ Mono","SUPT4H1"
0.00548290950879473,0.265461429274202,0.261,0.211,1,"CD14+ Mono","NDUFA3"
0.0057877511086755,0.373632356638655,0.397,0.326,1,"CD14+ Mono","COX5A"
0.00662194884973111,0.251229727651124,0.608,0.536,1,"CD14+ Mono","ENO1"
0.00719710776367708,0.267565198401472,0.382,0.326,1,"CD14+ Mono","UQCR10"
0.00910170272697835,0.315470633324304,0.288,0.236,1,"CD14+ Mono","RWDD1"
1.93371512286311e-117,0.639583714937034,0.998,0.995,2.65189691949447e-113,"Naive CD4+ T","RPL32"
4.80435864147389e-114,0.709918076284277,0.998,0.992,6.58869744091729e-110,"Naive CD4+ T","RPS27"
6.5717886708895e-113,0.687103414739465,1,0.992,9.01255098325786e-109,"Naive CD4+ T","RPS12"
